time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,Volume,RSI,RSI-based MA,Histogram,MACD,Signal,ATR
2025-05-05T14:50:00-04:00,5703.5,5704.25,5702.75,5704,5679.506098,5691.942907,5667.069288,5704.379717,5654.632478,5716.816527,5642.195668,918,61.72022324,62.08621882,-0.026387542,4.088458381,4.114845923,2.005837105
2025-05-05T14:52:00-04:00,5704.25,5704.5,5700.75,5701,5679.562951,5692.035525,5667.090377,5704.508098,5654.617803,5716.980672,5642.145229,2147,48.17193163,61.10066252,-0.356098969,3.669722211,4.02582118,2.130420169
2025-05-05T14:54:00-04:00,5701,5702,5698,5699,5679.655822,5692.174005,5667.13764,5704.692187,5654.619458,5717.210369,5642.101276,3957,41.61369932,59.71818397,-0.758336411,3.077900666,3.836237077,2.263961586
2025-05-05T14:56:00-04:00,5699,5700.25,5698.5,5698.75,5679.713394,5692.257813,5667.168975,5704.802233,5654.624556,5717.346652,5642.080137,2535,40.86477735,58.63078359,-1.029358016,2.549539557,3.578897573,2.227250044
2025-05-05T14:58:00-04:00,5699,5699,5696.25,5697,5679.787658,5692.357921,5667.217394,5704.928184,5654.647131,5717.498448,5642.076868,3619,35.98297657,56.90065721,-1.33990849,1.904011961,3.243920451,2.264589326
2025-05-05T15:00:00-04:00,5697,5697.25,5690,5695.25,5679.94034,5692.530248,5667.350431,5705.120157,5654.760523,5717.710065,5642.170614,9259,31.88138192,54.65698258,-1.661435597,1.167125955,2.828561552,2.620690089
2025-05-05T15:02:00-04:00,5695.5,5695.5,5691.25,5693.25,5679.995482,5692.588682,5667.402283,5705.181881,5654.809084,5717.77508,5642.215885,3605,27.95896802,52.13313554,-1.997444177,0.331756331,2.329200508,2.737069368
2025-05-05T15:04:00-04:00,5693.25,5698,5692.75,5698,5680.066237,5692.677479,5667.454995,5705.288721,5654.843753,5717.899962,5642.232512,3828,45.20247273,50.99805936,-1.707266054,0.19511794,1.902383994,2.916564413
2025-05-05T15:06:00-04:00,5698,5698,5692,5694.5,5680.136994,5692.759245,5667.514743,5705.381497,5654.892491,5718.003748,5642.27024,4234,37.98734989,49.19991767,-1.776586375,-0.318348974,1.4582374,3.136809812
2025-05-05T15:08:00-04:00,5694.5,5694.5,5692.25,5693,5680.164774,5692.788055,5667.541494,5705.411335,5654.918213,5718.034616,5642.294933,1876,35.38085008,47.0290258,-1.891236244,-0.905807905,0.985428339,3.073466254
2025-05-05T15:10:00-04:00,5692.75,5693,5690,5691.25,5680.216367,5692.833594,5667.59914,5705.450821,5654.981912,5718.068048,5642.364685,4079,32.57279751,44.61176369,-2.051169547,-1.578533594,0.472635953,3.068218665
2025-05-05T15:12:00-04:00,5691.25,5694,5690.75,5693.25,5680.264492,5692.880986,5667.647998,5705.497481,5655.031503,5718.113975,5642.415009,3452,38.5730881,42.89380385,-1.88743339,-1.886655785,0.000777605,3.081203046
2025-05-05T15:14:00-04:00,5693,5695,5691.25,5694.75,5680.309452,5692.928584,5667.690321,5705.547716,5655.071189,5718.166848,5642.452057,3006,42.69214014,41.47006201,-1.563679728,-1.953822055,-0.390142327,3.128974257
2025-05-05T15:16:00-04:00,5694.75,5695.5,5692.25,5692.5,5680.353073,5692.973785,5667.732361,5705.594497,5655.111649,5718.215209,5642.490937,2992,38.51963655,39.93730665,-1.491531815,-2.254557095,-0.763025281,3.137618953
2025-05-05T15:18:00-04:00,5692.75,5694.25,5690.75,5691.5,5680.3877,5693.006074,5667.769326,5705.624449,5655.150952,5718.242823,5642.532578,2643,36.79825106,38.15716578,-1.469639278,-2.600074378,-1.1304351,3.163503313
2025-05-05T15:20:00-04:00,5691.25,5692,5688.75,5688.75,5680.426301,5693.033275,5667.819327,5705.640249,5655.212353,5718.247224,5642.605379,3700,32.49733401,37.03755166,-1.640065591,-3.180517089,-1.540451498,3.169681648
